Bitmap32Analyzer Color List length = 732
============================================================
idx:     0, alpha: ff, red: e3, green: e3, blue: e3, count: 3210
idx:     1, alpha: ff, red: d3, green: d3, blue: d3, count: 5396
idx:     2, alpha: 00, red: 00, green: 00, blue: 00, count: 137946
idx:     3, alpha: 5a, red: ee, green: ee, blue: ee, count: 20
idx:     4, alpha: ff, red: ff, green: ff, blue: ff, count: 7097
idx:     5, alpha: ff, red: f3, green: f3, blue: f3, count: 3065
idx:     6, alpha: ff, red: cf, green: cf, blue: cf, count: 3899
idx:     7, alpha: ff, red: cb, green: cb, blue: cb, count: 2396
idx:     8, alpha: ff, red: c3, green: c3, blue: c3, count: 7360
idx:     9, alpha: ff, red: af, green: af, blue: af, count: 3
idx:    10, alpha: ff, red: bb, green: bb, blue: bb, count: 2
idx:    11, alpha: ff, red: b3, green: b3, blue: b3, count: 1
idx:    12, alpha: ff, red: 8b, green: 8b, blue: 8b, count: 2
idx:    13, alpha: ff, red: 87, green: 87, blue: 87, count: 1
idx:    14, alpha: ff, red: 97, green: 97, blue: 97, count: 1
idx:    15, alpha: ff, red: 9b, green: 9b, blue: 9b, count: 1
idx:    16, alpha: ff, red: a7, green: a7, blue: a7, count: 1
idx:    17, alpha: ff, red: ab, green: ab, blue: ab, count: 2
idx:    18, alpha: ff, red: a3, green: a3, blue: a3, count: 1
idx:    19, alpha: ff, red: 9f, green: 9f, blue: 9f, count: 2
idx:    20, alpha: ff, red: bf, green: bf, blue: bf, count: 1
idx:    21, alpha: ff, red: c7, green: c7, blue: c7, count: 3947
idx:    22, alpha: ff, red: fb, green: fb, blue: fb, count: 1213
idx:    23, alpha: ff, red: f7, green: f7, blue: f7, count: 2001
idx:    24, alpha: ff, red: eb, green: eb, blue: eb, count: 3586
idx:    25, alpha: ff, red: ef, green: ef, blue: ef, count: 5151
idx:    26, alpha: ff, red: e7, green: e7, blue: e7, count: 2014
idx:    27, alpha: ff, red: df, green: df, blue: df, count: 3197
idx:    28, alpha: ff, red: db, green: db, blue: db, count: 3191
idx:    29, alpha: ff, red: d7, green: d7, blue: d7, count: 3524
idx:    30, alpha: ff, red: 67, green: 67, blue: 67, count: 3581
idx:    31, alpha: ff, red: 6b, green: 6b, blue: 6b, count: 1
idx:    32, alpha: ff, red: 53, green: 53, blue: 53, count: 1
idx:    33, alpha: ff, red: 4b, green: 4b, blue: 4b, count: 1
idx:    34, alpha: ff, red: 7b, green: 7b, blue: 7b, count: 3621
idx:    35, alpha: ff, red: 73, green: 73, blue: 73, count: 2729
idx:    36, alpha: ff, red: 6f, green: 6f, blue: 6f, count: 1
idx:    37, alpha: ff, red: ff, green: ff, blue: fb, count: 1927
idx:    38, alpha: ff, red: f7, green: f7, blue: f0, count: 37
